k_c,c,t_first_below_threshold_s,t_settle_persistent_s,n_entries,entry_times_s,max_abs_delta_deg,max_speed_mps,final_phi_deg
0.0,0.2,0.4861111111111111,0.4861111111111111,1,0.4861111111111111,10.411699993610762,1.2931470544741648,1.5687105583302934e-07
0.0,0.6,,,0,,10.331191523550457,16.90225121365482,19.86201182677417
0.0,1.0,,,0,,3.4006985211846157,16.78455843813968,19.720878357330406
0.0,1.4,,,0,,2.0238035106718044,16.666652962621338,19.57860086088704
0.0,1.8,,,0,,1.4341098061613644,16.548556994525377,19.435151097567157
0.0,2.2,,,0,,1.1065718363040027,16.430266370971637,19.290499630193764
1.0,0.2,0.4930555555555555,0.4930555555555555,1,0.4930555555555555,9.156020811756653,1.3194052044881663,2.4423448821813506e-07
1.0,0.6,,,0,,9.075814727914882,15.317010953950389,16.215026848566406
1.0,1.0,,,0,,2.9875919928350427,15.21585922154685,16.103555542974092
1.0,1.4,,,0,,1.776188868835715,15.114138730804305,15.990704288537245
1.0,1.8,,,0,,1.2572907433589544,15.011865267923902,15.876433297324327
1.0,2.2,,,0,,0.9690612929594795,14.90903044741009,15.760700893614349
2.0,0.2,0.5069444444444444,0.5069444444444444,1,0.5069444444444444,7.904762375962369,1.348040294112459,3.8545254935379596e-07
2.0,0.6,,,0,,7.824817324767094,13.872901729564836,13.13323681928573
2.0,1.0,,,0,,2.574640860555197,13.783212250805853,13.038412542578609
2.0,1.4,,,0,,1.5286074073417393,13.69272882510765,12.942161917143
2.0,1.8,,,0,,1.080483655973646,13.601454921891692,12.84443319336202
2.0,2.2,,,0,,0.8315563317816973,13.50937260692646,12.745171606859117
3.0,0.2,0.5138888888888888,0.5138888888888888,1,0.5138888888888888,6.657287305335909,1.3795794097840266,6.154223903847358e-07
3.0,0.6,,,0,,6.577563096599042,12.55904353116435,10.543747947005372
3.0,1.0,,,0,,2.161823520186651,12.476413436779735,10.456216766904346
3.0,1.4,,,0,,1.28105449171899,12.392823399219134,10.367223060031689
3.0,1.8,,,0,,0.9036868582290695,12.308260823641435,10.276703177648946
3.0,2.2,,,0,,0.694056160207331,12.22269455956863,10.184588872090174
4.0,0.2,0.5277777777777778,0.5277777777777778,1,0.5277777777777778,5.41297495560881,1.4147868935103234,9.988521136692173e-07
4.0,0.6,,,0,,5.333432367807916,11.36460476158355,8.381426945636457
4.0,1.0,,,0,,1.749118430321133,11.28522403914153,8.29482734173246
4.0,1.4,,,0,,1.0335254922990735,11.204707323174324,8.206620209463136
4.0,1.8,,,0,,0.7268986652312076,11.123021241703466,8.116723763344186
4.0,2.2,,,0,,0.5565599859214135,11.040116205143287,8.025049040638804
5.0,0.2,0.5416666666666666,0.5416666666666666,1,0.5416666666666666,4.171218468336224,1.4548647785978972,1.6670694566105736e-06
5.0,0.6,,,0,,4.091819065970626,10.279033167879758,6.588220172308433
5.0,1.0,,,0,,1.336504102113756,10.199581643927438,6.498599824624167
5.0,1.4,,,0,,0.7860157834349353,10.118735987361882,6.407046393064755
5.0,1.8,,,0,,0.5501173928237031,10.036431705922114,6.313441255717686
5.0,2.2,,,0,,0.41906701681621616,9.952588643093419,6.217652929324483
